pos,neg,neu,compound,cleaned_comment
0.0,0.0,1.0,0.0,mantap bin kemendagri bangun posko pembuatan data kependudukan korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.0,0.219,0.781,-0.4215,tim trauma healing bin bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin salurkan bantuan wilayah terisolir gempa cianjur binresponcepatbencanalam binpedulikorbanbencana binturutberdukagempacianjur binhadircepatuntukrakyat binpedulisesama
0.204,0.0,0.796,0.3182,bin peduli korban bencana gempa cianjur pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin peduli korban bencana gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,posko bantuan bin terjunkan healing utk bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,salurkan bantuan penyintas gempa cianjur jsit indonesia cianjur bangkit globalnews
0.0,0.0,1.0,0.0,mantap bin tembus desa terisolir bantu warga terdampak gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin membantu bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.219,0.781,-0.4215,bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur
0.0,0.237,0.763,-0.4215,terjunkan tim trauma healing bangklitkan semangat mental gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin tembus desa terisolir bantuan warga gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.384,0.616,-0.6808,korban gempa cianjur layanan trauma healing mengalami trauma pasca bencana binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.237,0.763,-0.4215,bin terjunkan tim trauma healing membantu korban gempa cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.219,0.781,-0.4215,bin terjunkan tim trauma healing bangkitakan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.177,0.823,-0.4215,badan intelijen negara terjunkan tim trauma healing membantu korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama
0.15,0.0,0.85,0.3182,bin pelayanan kesehatan korban pengungsi gempa cianjur posko bantuan bin pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin bantu pulihkan kecerian korban gempa cianjur keren binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,mantap bin kembalikan tawa anak anak korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,bin dirikan posko bantuan membagikan sembako layanan kesehatan warga korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama
0.127,0.155,0.718,-0.128,posko bantuan bin gelar kegiatan trauma healing korban bencana gempa cianjur pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,tim posko bin tembus desa terisolir bantuan korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.173,0.0,0.827,0.3182,bin respon cepat korban bencana alam gempa cianjur pray for cianjur binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.259,0.741,-0.4215,bin terjunkan tim trauma healing membantu korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.177,0.823,-0.4215,bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjur binresponcepatbencanalam binpedulikorbanbencanabinturutberdukagempacianjur binhadircepatuntukrakyatbinpedulisesama
0.0,0.259,0.741,-0.4215,tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.286,0.714,-0.4215,bin terbaik lakukan trauma healing korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.219,0.781,-0.4215,bin terjunkan tim trauma healng bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.189,0.811,-0.4215,posko bantuan bin terjunkan tim trauma healing bangkitkan semangat mental korban gempa cianjurbinresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.318,0.682,-0.6808,badan intelijen negara menerjunkan tim trauma healing membantu korban gempa cianjur trauma healing binresponcepatbencanalambinpedulikorbanbencanabinturutberdukagempacianjurbinhadircepatuntukrakyatbinpedulisesama
0.0,0.0,1.0,0.0,mensos risma anak anak yatim piatu gempa cianjur cita cita tingifolow berita menarik lainya
